% Model:              Ellipse3.mph
% Version:            COMSOL 6.3.0.290
% Date:               Oct 26 2025, 11:01
% Dimension:          2
% Nodes:              10201
% Expressions:        5
% Description: Displacement field, X component, Displacement field, Y component, Strain tensor, XX component, Strain tensor, YY component, Strain tensor, XY component
% Length unit:        m
% X                       Y                        u (m)                    v (m)                    solid.eXX (1)            solid.eYY (1)            solid.eXY (1)
-0.96                     0.78                     -0.002879974523666184    -6.885062627793051E-4    0.003000859889086896     -9.529073710722868E-4    3.5629784119126096E-6
-0.94                     0.8                      -0.0028197298239745192   -7.076082241021051E-4    0.0030049446481261225    -9.552053170661853E-4    4.6953847121864595E-6
-0.9199999999999999       0.8200000000000001       -0.0027593591867062727   -7.267629742962991E-4    0.0030087164013586354    -9.571737096432826E-4    5.427695254285256E-6
-0.8999999999999999       0.8400000000000001       -0.0026988845874565052   -7.459636552383818E-4    0.0030121474900201375    -9.587835157432502E-4    5.787198517143849E-6
-0.8799999999999999       0.8600000000000001       -0.002638328122982088    -7.652020755692335E-4    0.0030152144472157805    -9.600115459040721E-4    5.8067288975759595E-6
-0.8599999999999999       0.8800000000000001       -0.0025777117761778133   -7.84468761863112E-4     0.0030178995862109315    -9.608416908957057E-4    5.524160288625929E-6
-0.8400000000000001       0.9000000000000001       -0.0025170571629507654   -8.037530486144398E-4    0.0030201922958110355    -9.612658670729753E-4    4.981589807859926E-6
-0.8200000000000001       0.9199999999999999       -0.002456385272636356    -8.230432044366392E-4    0.003022090038408712     -9.612846416374802E-4    4.224311401555593E-6
-0.8                      0.94                     -0.0023957162135916786   -8.423265894873633E-4    0.0030235990124620727    -9.609075070280462E-4    3.2996481911361925E-6
-0.78                     0.96                     -0.0023350689747957715   -8.615898371112867E-4    0.0030247344490773875    -9.60152764700354E-4     2.2557454453393335E-6
-0.76                     0.98                     -0.002274461214284426    -8.808190543961287E-4    0.0030255205536647034    -9.59047467920413E-4     1.1401061195531286E-6
-0.74                     1                        -0.002213909021154477    -9.000000000000001E-4    0.003025991378035414     -9.576250833916398E-4    1.0669209034771161E-10
-1                        0.72                     -0.0030000000000000005   -6.315631346787257E-4    0.0029869412891048628    -9.443527833500875E-4    1.886026026095185E-8
-0.98                     0.74                     -0.0029401623451786115   -6.504845475674513E-4    0.002991960592188559     -9.474871940605006E-4    2.229573532458798E-6
-0.96                     0.76                     -0.002880140031938165    -6.694734786537247E-4    0.002996735986340787     -9.503710679141958E-4    3.984301051687909E-6
-0.94                     0.78                     -0.0028199542499596692   -6.885265836131931E-4    0.0030012367660530123    -9.529640790564552E-4    5.296546675150869E-6
-0.9199999999999999       0.8                      -0.0027596267855599065   -7.07639051426854E-4     0.0030054293228779227    -9.552292039186986E-4    6.1849605986809735E-6
-0.8999999999999999       0.8200000000000002       -0.002699179904115658    -7.268046479551499E-4    0.0030092821138188127    -9.571329878872449E-4    6.675271972575216E-6
-0.8799999999999999       0.8400000000000001       -0.002638636139380453    -7.460156948215986E-4    0.0030127669017595976    -9.586471873928767E-4    6.799660769792511E-6
-0.8599999999999999       0.8600000000000001       -0.0025780180527048874   -7.652630938989732E-4    0.0030158605928087834    -9.597502479669664E-4    6.596310048182068E-6
-0.8400000000000001       0.8800000000000001       -0.0025173479671345075   -7.845363959600432E-4    0.003018546798798966     -9.604285027762794E-4    6.108603749345118E-6
-0.8200000000000001       0.9000000000000001       -0.002456647688692809    -8.038239119800623E-4    0.0030208171038209886    -9.606770458216035E-4    5.384064314587281E-6
-0.8                      0.9199999999999999       -0.002395938227622114    -8.231128628702254E-4    0.0030226719813193936    -9.605002334939113E-4    4.473097161379845E-6
-0.78                     0.94                     -0.0023352395319694      -8.423895610013536E-4    0.0030241213265162956    -9.599117873364758E-4    3.427624054893122E-6
-0.76                     0.96                     -0.0022745702446592196   -8.616396147971402E-4    0.0030251845822126186    -9.589344665280273E-4    2.2997214101239346E-6
-0.74                     0.98                     -0.002213947494819216    -8.808481497904969E-4    0.0030258904835778686    -9.575998167027482E-4    1.140025351365273E-6
-0.72                     1                        -0.002153386663600365    -9.000000000000001E-4    0.0030262778488009865    -9.559454641818015E-4    -1.6740843179300728E-9
-1                        0.7                      -0.0030000000000000005   -6.127098605787798E-4    0.002981615077967894     -9.409647086840433E-4    1.9413437162806486E-8
-0.98                     0.72                     -0.002940260933267175    -6.315657358846551E-4    0.002987033511978233     -9.443862392430145E-4    2.457577346390583E-6
