% Model:              Beam.mph
% Version:            COMSOL 6.3.0.290
% Date:               Jun 14 2025, 10:50
% Dimension:          2
% Nodes:              1000
% Expressions:        5
% Description: Displacement magnitude, Rotation field, Z component, Bending moment, local z direction, Shear force, local y direction, Normal strain at the first calculation point
% Length unit:        m
% X                       Y                        beam.disp (m)            thz (rad)                beam.Mzl (N*m)           beam.Tyl (N)             beam.e_1 (1)
0.1295                    0                        2.0931078155227492E-4    0.0028535601385853166    56.61808422493625        504.7977225916139        3.397085053496174E-4
0.1305                    0                        2.1217111571905832E-4    0.0028670882030725937    56.118286502357876       494.7977225922293        3.367097190141472E-4
0.1315                    0                        2.150449183246023E-4     0.0028804972161064492    55.62348877977595        494.7977225922293        3.3374093267865557E-4
0.1325                    0                        2.1793207056745344E-4    0.002893787477686881     55.12869105717956        494.7977225922293        3.3077214634307726E-4
0.1335                    0                        2.2083245369615827E-4    0.0029069589878138995    54.633893334590425       494.7977225922293        3.278033600075425E-4
0.1345                    0                        2.237459489592634E-4     0.0029200117464874835    54.139095611999736       494.7977225922293        3.2483457367199833E-4
0.1355                    0                        2.2667243760531546E-4    0.002932945753707664     53.64429788941029        494.7977225922293        3.2186578733646166E-4
0.1365                    0                        2.296118008828609E-4     0.0029457610094744038    53.149500166817724       494.7977225922293        3.1889700100090623E-4
0.1375                    0                        2.3256392004044647E-4    0.002958457513787726     52.65470244422978        494.7977225922293        3.159282146653786E-4
0.1385                    0                        2.355286763266186E-4     0.002971035266647634     52.15990472163119        494.7977225922293        3.129594283297871E-4
0.1395                    0                        2.3850595098992393E-4    0.0029834942680541164    51.66510699904834        494.7977225922293        3.0999064199429E-4
0.1405                    0                        2.41495625328909E-4      0.0029958348180071787    51.17530927646424        484.79772258550247       3.070518556587854E-4
0.1415                    0                        2.444975817921204E-4     0.0030080587165068175    50.69051155387566        484.79772258550247       3.041430693232539E-4
0.1425                    0                        2.4751170397810477E-4    0.0030201662635530404    50.205713831293664       484.79772258550247       3.0123428298776196E-4
0.1435                    0                        2.505378755354087E-4     0.0030321574591458404    49.720916108708          484.79772258550247       2.98325496652248E-4
0.1445                    0                        2.5357598011257863E-4    0.0030440323032852185    49.236118386122286       484.79772258550247       2.9541671031673366E-4
0.1455                    0                        2.566259013581613E-4     0.003055790795971177     48.751320663536134       484.79772258550247       2.9250792398121674E-4
0.1465                    0                        2.5968752292070325E-4    0.0030674329372037093    48.26652294095172        484.79772258550247       2.8959913764571024E-4
0.1475                    0                        2.62760728448751E-4      0.0030789587269828356    47.78172521836082        484.79772258550247       2.8669035131016486E-4
0.1485                    0                        2.658454015908511E-4     0.0030903681653085334    47.29692749577964        484.79772258550247       2.8378156497467776E-4
